,input,output
175,"they pay interest only for 115 months , with principal payments beginning thereafter .",they pay
267,"earlier this year , penney abandoned another home shopping venture , telaction corp. , after investing $ 106 million in it .",penney abandoned
137,"warner is part of warner communications inc. , which is in the process of being acquired by time warner inc .",warner is
461,"in dallas , ltv said that it was disappointed that the court agreed to hear the case because it believes the move will further delay its chapter 11 proceedings .",ltv said
255,but it appears to be the sort of hold one makes while heading for the door .,it appears
406,"chrysler has also launched a $ 1 billion cost-cutting program that will cut about 2,300 white-collar workers from the payroll in the next few months .",chrysler launched
291,"computers have made trading more rapid , but that can be fixed with some fine-tuning .",computers made
83,"second , they are liquid .",they are
173,"at the state university of new york at brooklyn , researchers flash two groups of different letters on a computer screen in front of human guinea pigs .",researchers flash
440,"and because general retail centers such as computerland have little presence in japan , sales remain in the iron grip of established computer makers .",sales remain
234,stateswest had proposed acquiring mesa for $ 7 a share and one share of a new series of stateswest 6 % convertible preferred stock it values at $ 3 a share .,stateswest proposed
408,"acadia would sell up to 10 % of the equity in the reorganized company to creditors and bondholders in exchange for the cash distribution , but creditors and bondholders would receive no discount for their shares .",acadia sell
276,"to avoid default , lawmakers must pass legislation raising the limit to $ 3.12 trillion from $ 2.80 trillion by next wednesday , according to the treasury .",lawmakers pass
410,revco has $ 1.5 billion in claims outstanding .,revco has
317,others pointed out that at least four other disk-drive makers will have competitive one-inch drives early next year and that the industry already operates on very thin margins .,others pointed
250,gen-probe was another active takeover stock .,gen-probe was
394,"even if the press is ready to seize and misinterpret , these are not very complicated thoughts .",these are
1,"it felt more like a party , or a highly polished jam session with a few friends , than a classical concert .",it felt
222,nekoosa ranked 11th with sales of $ 3.59 billion .,nekoosa ranked
396,it would allow all defendants to introduce statistical evidence showing racially disproportionate application of the death penalty in the past .,it allow
286,cilcorp said the businesses to be acquired had revenue of $ 76 million for the year ended march 31 .,cilcorp said
220,it was just the culture of the industry that kept it from happening .,it was
484,"he theorized that in the eye cancer , an infant inherited a damaged copy of a gene from one parent and a normal copy from the other .",he theorized
105,"for a while in the 1970s it seemed mr. moon was on a spending spree , with such purchases as the former new yorker hotel and its adjacent manhattan center ; a fishing/processing conglomerate with branches in alaska , massachusetts , virginia and louisiana ; a former christian brothers monastery and the seagram family mansion ( both picturesquely situated on the hudson river ) ; shares in banks from washington to uruguay ; a motion picture production company , and newspapers , such as the washington times , the new york city tribune ( originally the news world ) , and the successful spanish-language noticias del mundo .",it seemed
386,nrm said its $ 2.60 senior cumulative convertible preferred units will be converted into an equal number of shares of $ 2.60 senior cumulative convertible preferred stock of edisto .,nrm said
351,it is also likely to bolster fears that the japanese will use their foothold in u.s. biotechnology concerns to gain certain trade and competitive advantages .,it is
422,we think that the ratings revision is unfortunate but not unexpected .,we think
157,"he joins nov. 13 , dissolving his consulting firm , canter , achenbaum associates .",he joins
224,"but he said that even under those conditions , the company still would realize a savings of tens of millions of dollars in the first year following a merger .",he said
136,"to help close the gap , nissan recently established a top-level cost-cutting committee .",nissan established
189,"in early trading in hong kong wednesday , gold was quoted at $ 373.80 an ounce .",gold quoted
409,he said he has not met with representatives from acadia .,he said
496,it will have 61 plants from coast to coast and $ 1.5 billion in annual sales .,it have
30,prices were mixed in zurich and lower in stockholm .,prices were
271,it said financing would consist of $ 250 million from a private placement obtained through shearson lehman hutton inc. and a $ 150 million revolving credit line underwritten by chase manhattan bank .,it said
431,"but for now , at least , americans are far better at making pcs and the software that runs them .",americans are
307,"as for gold , she notes that it usually rises when the dollar is weak , as it has been lately .",she notes
11,"today is the debut of the senior professional baseball association , a new eight-team pro sports circuit , modeled after the highly successful senior tennis and golf tours and complete with good salaries , a cable television contract and even expansion plans .",today is
389,analysts say additional investors transferred their assets into money funds this month .,analysts say
289,revenue rose 33 % to $ 378.1 million from $ 283.8 million .,revenue rose
305,"he favors fpl group inc. , florida progress corp. , teco energy inc. , wisconsin energy corp. , and dominion resources inc .",he favors
303,"if gold stocks and utilities continue to lead , it may signal that the market is in for rough times .",it signal
26,"dow will own 60 % of the venture , with eli lilly holding the rest .",dow own
417,"but that changed following a resolution from the supreme soviet banning cooperatives from operating in some areas of the economy , and permitting activity in others only if the cooperatives are under contract to the state .",that changed
196,"paramount said associates has about $ 14 billion in total assets , making it third-largest in terms of assets among independent finance companies in the u.s. .",paramount said
446,"that means that the u.s. trade deficit was running closer to $ 75 billion than to $ 95 billion in 1988 , and $ 55 billion ( annualized ) rather than $ 80 billion in the first quarter of 1989 .",that means
244,"these include trying to protect its print advertising by invoking the first amendment , and wooing blacks by portraying itself as a protector of civil rights .",these include
281,"pennzoil is rumored to be accumulating a stake in chevron in order to push for a revamping of the company ; investor carl icahn has recently increased his stake in usx , which separately reported earnings that were in line with expectations .",pennzoil rumored
416,"permission is far from automatic : the soviets have the legal right to turn down applications and impose conditions , and they appear to be exercising these powers .",permission is
414,"outside the u.s. , he said , producer stocks at the end of august were 273,000 tons , down 3,000 tons from the end of july .",he said
347,"although the notes held at a price of 92 to 93 immediately after the reset , they started falling soon afterward .",they started
319,she retains her duties of human-resources director .,she retains
54,"yesterday , armstrong announced an agreement to sell its small applied color systems unit to a subsidiary of the swiss company , brauerei eichof ltd .",armstrong announced
76,"mason is the largest toxicology lab in new england , with annual revenue of $ 8 million and 140 employees .",mason is
108,it said the situation is caused by efforts to streamline bloated factory payrolls .,it said
170,"using small electrical shocks applied to her feet , they were able to monitor sensory nerves .",they were
38,we were coming down straight into their canal .,we coming
466,he should consider his victory a mandate to continue his growth-oriented economic reforms and not a demand that he move further left .,he consider
179,he already has finagled a $ 2 billion loan from the japanese government .,he finagled
455,ford said owners should return the cars to dealers so the windshields can be removed and securely reinstalled .,ford said
458,it recently reported assets of $ 2.4 billion and liabilities of $ 4 billion .,it reported
242,"coast earned $ 10.2 million , or 67 cents a share , in the year-ago quarter .",coast earned
342,"though mr. packer has since sold his stake , courtaulds is moving to keep its institutional shareholders happy .",courtaulds moving
106,i attended several of these in the dual role as a presenter of research findings as well as an investigator of my hosts .,i attended
70,"to many , it was a ceremony more befitting a king than a rural judge seated in the isolated foothills of the southern allegheny mountains .",it was
53,"in the year-ago quarter , earnings were $ 42.9 million , or 93 cents a share .",earnings were
0,"he believes in what he plays , and he plays superbly .",he believes
57,"after various adjustments , they produced a 0.5 % rise in the index for august and a 0.2 % rise for september .",they produced
253,that was another reason the street loved santa fe .,that was
46,"and it treats such activities in a frivolous , cavalier fashion , with total indifference to common sense and public safety .",it treats
230,some predicted that nekoosa will end up being owned by a japanese company .,nekoosa end
288,revenue soared to $ 101.7 million from $ 39.5 million .,revenue soared
200,we hear that hud secretary jack kemp is toying with going along with some of the cranston-mitchell proposals .,we hear
