,input,output
173,"at the state university of new york at brooklyn , researchers flash two groups of different letters on a computer screen in front of human guinea pigs .",researchers flash
224,"but he said that even under those conditions , the company still would realize a savings of tens of millions of dollars in the first year following a merger .",he said
342,"though mr. packer has since sold his stake , courtaulds is moving to keep its institutional shareholders happy .",courtaulds moving
78,"although the action removes one obstacle in the way of an overall settlement to the case , it also means that mr. hunt could be stripped of virtually all of his assets if the tax court rules against him in a 1982 case heard earlier this year in washington , d.c .",it means
276,"to avoid default , lawmakers must pass legislation raising the limit to $ 3.12 trillion from $ 2.80 trillion by next wednesday , according to the treasury .",lawmakers pass
387,nrm said it expects unitholders to vote on the restructuring at a meeting dec. 15 .,nrm said
425,"this past summer , quotron sold its customer-service unit , employing 600 , to phoenix technologies inc. , a closely held computer-service firm in valley forge , pa .",quotron sold
301,they said they wanted to wait for the outcome of any government investigation before deciding what to do .,they said
196,"paramount said associates has about $ 14 billion in total assets , making it third-largest in terms of assets among independent finance companies in the u.s. .",paramount said
10,"he said the company is experimenting with the technique on alfalfa , and plans to include cotton and corn , among other crops .",he said
469,"he should do more to reduce tax rates on wealth and income , in recognition of the fact that those cuts yield higher , not lower , revenues .",he do
271,it said financing would consist of $ 250 million from a private placement obtained through shearson lehman hutton inc. and a $ 150 million revolving credit line underwritten by chase manhattan bank .,it said
75,"berthold is based in wildbad , west germany , and also has operations in belgium .",berthold based
142,he dies .,he dies
65,and that puts added pressure on chez panisse dessert-menu planners .,that puts
340,investors welcomed the move .,investors welcomed
484,"he theorized that in the eye cancer , an infant inherited a damaged copy of a gene from one parent and a normal copy from the other .",he theorized
175,"they pay interest only for 115 months , with principal payments beginning thereafter .",they pay
362,it took effect after seven years of bitter debate between the securities and exchange commission and traders and exchanges .,it took
264,"and while customers such as steel service centers are continuing to reduce inventories through the fourth quarter , they eventually will begin stocking up again , he notes .",he notes
100,goya is selling leche fresca in nearly 500 grocery stores and bodegas in new york and parts of new jersey .,goya selling
491,they focused on chromosome 17 .,they focused
295,others said ibm might increase the size of the offering to as much as $ 1 billion if investor demand is strong .,others said
300,clarcor said it is inviting proposals from other prospective purchasers of the unit .,clarcor said
235,"stateswest serves 10 cities in california , arizona and nevada .",stateswest serves
475,"profit-taking accounted for much of the slide in otc stock prices , according to david mills , senior vice president of boston company advisers .",profit-taking accounted
219,"georgia-pacific closed down $ 2.50 , at $ 50.875 in big board trading .",georgia-pacific closed
330,turnover was also down substantially from 840.8 million shares on friday .,turnover was
326,he is a senior partner with the law firm of riordan & mckinzie and is a partner in riordan venture management .,he is
421,"it is possible that , in perpetuating such myths , the ground is being laid for the arrest of opposition activists on the ground of terrorism .",it is
157,"he joins nov. 13 , dissolving his consulting firm , canter , achenbaum associates .",he joins
348,this could mean diminished issuance of derivative mortgage issues during the next few weeks .,this mean
54,"yesterday , armstrong announced an agreement to sell its small applied color systems unit to a subsidiary of the swiss company , brauerei eichof ltd .",armstrong announced
220,it was just the culture of the industry that kept it from happening .,it was
402,nothing was going to hold up the long-delayed settlement of britton vs. thomasini .,nothing going
379,"humana contends that $ 8,000 represents an extreme case and that its regular charge for lithotripsy is $ 4,900 .",humana contends
200,we hear that hud secretary jack kemp is toying with going along with some of the cranston-mitchell proposals .,we hear
179,he already has finagled a $ 2 billion loan from the japanese government .,he finagled
372,but violation could bring substantial tax penalties to both employer and employees .,violation bring
56,"these include new orders for manufactured consumer goods , lead times on vendor deliveries , orders for new plant and equipment , and backlogs of orders for durable goods .",these include
440,"and because general retail centers such as computerland have little presence in japan , sales remain in the iron grip of established computer makers .",sales remain
60,some nights he slept under his desk .,he slept
208,it has long been rumored that ocean drilling would sell the unit to concentrate on its core oil and gas business .,it rumored
